Vorname,Anzahl,Geschlecht
Alexia,4,w
Alexis,4,w
Aleya,4,w
Aleyna,4,w
Alia,4,w
Aliah,4,w
Aliana,4,w
Alice-Jolie,4,w
Alicja,4,w
Aline,4,w
Alison,4,w
Alissa,4,w
Alissia,4,w
Alithea,4,w
Alix,4,w
Allaya,4,w
Allegra,4,w
Alma-Lou,4,w
Almas,4,w
Almira,4,w
Alora,4,w
Alsanna,4,w
Althea,4,w
Aluna,4,w
Alya,4,w
Alyah,4,w
Amaia,4,w
Amaira,4,w
Amal,4,w
Amalia-Elena,4,w
Amalie,4,w
Amalija,4,w
Amalya,4,w
Amanda,4,w
Amarena,4,w
Amari,4,w
Amariell,4,w
Amarillis,4,w
Amaryllis,4,w
Amber,4,w
Ambika,4,w
Amea,4,w
Amedea,4,w
Ameera,4,w
Amela,4,w
Amélie,4,w
Amely,4,w
Amenze,4,w
Amets,4,w
Amie,4,w
Amila,4,w
Aminata,4,w
Amine,4,w
Amla,4,w
Amna,4,w
Amra,4,w
Ana-Clara,4,w
Anaalia,4,w
Anabel,4,w
Anabia,4,w
Anais,4,w
Anaïs,4,w
Anais-Maria,4,w
Analeia,4,w
Anastasia-Elena,4,w
Anastasija,4,w
Anaya,4,w
Anays-Maria,4,w
Anđelina,4,w
Andrada,4,w
Andrea,4,w
Andreana,4,w
Andreea-Julia,4,w
Andreea-Sofia,4,w
Andriana,4,w
Anduena,4,w
Ane,4,w
Anea,4,w
Anela,4,w
Anesa,4,w
Angel,4,w
Angela,4,w
Angelina,4,w
Anhaar,4,w
Ani,4,w
Anida,4,w
Anija,4,w
Anika,4,w
Anina,4,w
Anisa,4,w
Anisija,4,w
Anissa,4,w
Anita,4,w
Ann,4,w
Anna-Eliana,4,w
Anna-Gloria,4,w
Anna-Maria,4,w
Anna-Valeria,4,w
Annabel,4,w
Annabell,4,w
Annabella,4,w
Annalena,4,w
Annamaria,4,w
Anneke,4,w
Anneli,4,w
Annelie,4,w
Anneliese,4,w
Annelore,4,w
Annemarie,4,w
Änni,4,w
Annie,4,w
